| nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R0     |      C_R1     |      C_R2     |    a_heavy    | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    PSA/Area   |    molArea    |     molPSA    |    molLogS    |    molLogP    |   molVolume   |   molWeight   |
|      41.0     |      4.0      |  0.009716757  |      0.0      |      3.0      |      2.0      |      1.0      |      0.0      |      27.0     |      0.0      |      0.0      |     740.0     |      3.0      |      0.0      |      4.0      |      10.0     |      1.0      |      41.0     |  0.291076373  |    353.567    |    102.915    |    -4.66218   |    2.15131    |    317.663    |    421.038    |
|      23.0     |      1.0      |  0.009622231  |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      17.0     |      -1.0     |      0.0      |     532.0     |      2.0      |      -1.0     |      3.0      |      10.0     |      0.0      |      23.0     |  0.449260138  |    231.327    |    103.926    |    -2.30232   |   -0.290636   |    212.025    |    294.949    |
|      33.0     |      3.0      |      0.0      |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      18.0     |      -1.0     |      0.0      |     292.0     |      2.0      |      -1.0     |      2.0      |      3.0      |      0.0      |      33.0     |  0.133545426  |    270.794    |    36.1633    |    -3.91814   |    3.59308    |     234.92    |     241.11    |
|      47.0     |      9.0      |   0.03583356  |  0.007166712  |      6.0      |      7.0      |      5.0      |      1.0      |      30.0     |      -1.0     |      0.0      |     833.0     |      3.0      |      -1.0     |      4.0      |      14.0     |      2.0      |      47.0     |  0.328590537  |    424.644    |    139.534    |    -4.13379   |   -0.115239   |    439.584    |    455.057    |
|      40.0     |      2.0      |  0.048286319  |  0.028971791  |      6.0      |      0.0      |      5.0      |      3.0      |      24.0     |      0.0      |      0.0      |     758.0     |      4.0      |      0.0      |      4.0      |      10.0     |      4.0      |      40.0     |  0.309354517  |    334.726    |    103.549    |    -4.99217   |    1.35827    |    326.187    |    389.027    |
|      48.0     |      4.0      |  0.112212665  |  0.084159499  |      9.0      |      4.0      |      4.0      |      3.0      |      24.0     |      0.0      |      1.0      |     457.0     |      4.0      |      1.0      |      1.0      |      4.0      |      4.0      |      48.0     |  0.097765576  |    364.613    |    35.6466    |    -3.29994   |     2.4134    |    339.594    |    324.184    |
|      28.0     |      2.0      |  0.113851614  |      0.0      |      5.0      |      1.0      |      8.0      |      0.0      |      15.0     |      0.0      |      0.0      |     327.0     |      2.0      |      0.0      |      3.0      |      5.0      |      2.0      |      28.0     |  0.312248761  |    225.035    |    70.2669    |    -1.5625    |    -1.07108   |    218.652    |    211.096    |
|      68.0     |      7.0      |  0.229148379  |  0.035253597  |      19.0     |      10.0     |      13.0     |      2.0      |      30.0     |      0.0      |      0.0      |     706.0     |      3.0      |      0.0      |      1.0      |      7.0      |      7.0      |      68.0     |  0.112828601  |    502.814    |    56.7318    |    -5.70397   |    4.22882    |    490.639    |    418.272    |
|      39.0     |      6.0      |  0.100042326  |  0.015391127  |      19.0     |      10.0     |      13.0     |      2.0      |      30.0     |      -1.0     |      0.0      |     739.0     |      3.0      |      -1.0     |      5.0      |      11.0     |      2.0      |      39.0     |  0.368441796  |    352.688    |    129.945    |    -4.62301   |   0.0290967   |     389.6     |    395.036    |
|      42.0     |      4.0      |  0.062857239  |      0.0      |      8.0      |      6.0      |      3.0      |      0.0      |      21.0     |      -1.0     |      0.0      |     400.0     |      3.0      |      -1.0     |      2.0      |      4.0      |      1.0      |      42.0     |  0.145834326  |     327.27    |    47.7272    |    -3.61089   |    3.19902    |    309.435    |    287.152    |
|      32.0     |      5.0      |      0.0      |      0.0      |      1.0      |      2.0      |      0.0      |      0.0      |      21.0     |      -1.0     |      0.0      |     481.0     |      2.0      |      -1.0     |      4.0      |      9.0      |      0.0      |      32.0     |  0.328758054  |    293.636    |    96.5352    |    -3.58297   |    1.56879    |    255.536    |    330.008    |
|      41.0     |      5.0      |      0.0      |      0.0      |      3.0      |      5.0      |      0.0      |      0.0      |      25.0     |      -1.0     |      0.0      |     506.0     |      3.0      |      -1.0     |      1.0      |      6.0      |      0.0      |      41.0     |  0.141466232  |    362.671    |    51.3057    |    -5.88537   |    3.94696    |    340.582    |    357.077    |
|      22.0     |      2.0      |  0.022581621  |      0.0      |      2.0      |      3.0      |      2.0      |      0.0      |      14.0     |      0.0      |      0.0      |     419.0     |      1.0      |      0.0      |      2.0      |      10.0     |      0.0      |      22.0     |  0.411760385  |    215.095    |    88.5676    |    -1.57015   |    -0.63179   |     195.12    |    236.004    |
|      41.0     |      5.0      |  0.055135484  |  0.011027097  |      5.0      |      4.0      |      5.0      |      1.0      |      24.0     |      -1.0     |      0.0      |     600.0     |      3.0      |      -1.0     |      4.0      |      9.0      |      3.0      |      41.0     |  0.261041163  |     347.4     |    90.6857    |    -3.36359   |   -0.968932   |    360.758    |    347.094    |
|      56.0     |      8.0      |      0.0      |      0.0      |      7.0      |      10.0     |      0.0      |      0.0      |      30.0     |      -1.0     |      0.0      |     590.0     |      3.0      |      -1.0     |      3.0      |      5.0      |      2.0      |      56.0     |  0.142712103  |    445.986    |    63.6476    |    -5.69053   |    4.59879    |    408.773    |    411.185    |
|      45.0     |      8.0      |      0.0      |      0.0      |      4.0      |      5.0      |      0.0      |      0.0      |      25.0     |      -1.0     |      0.0      |     528.0     |      2.0      |      -1.0     |      4.0      |      9.0      |      0.0      |      45.0     |  0.254644677  |    376.291    |    95.8205    |    -4.18936   |    2.93964    |    327.291    |    364.109    |
|      33.0     |      8.0      |      0.0      |      0.0      |      5.0      |      7.0      |      0.0      |      0.0      |      17.0     |      0.0      |      0.0      |     296.0     |      1.0      |      0.0      |      3.0      |      4.0      |      0.0      |      33.0     |  0.246665471  |    289.906    |    71.5098    |    -2.50416   |    0.328501   |    250.742    |    252.116    |
|      50.0     |      12.0     |  0.029832046  |      0.0      |      11.0     |      13.0     |      3.0      |      0.0      |      24.0     |      -3.0     |      1.0      |     519.0     |      1.0      |      -2.0     |      5.0      |      10.0     |      2.0      |      50.0     |    0.252615   |    398.088    |    100.563    |    -4.53057   |    0.184695   |    393.556    |    358.156    |
|      38.0     |      5.0      |  0.055135484  |  0.011027097  |      4.0      |      3.0      |      5.0      |      1.0      |      24.0     |      -1.0     |      0.0      |     606.0     |      3.0      |      -1.0     |      4.0      |      9.0      |      3.0      |      0.0      |  0.265552653  |    341.498    |    90.6857    |    -3.98501   |    -1.06422   |    354.723    |    367.039    |
|      55.0     |      10.0     |      0.0      |      0.0      |      5.0      |      8.0      |      0.0      |      0.0      |      33.0     |      -2.0     |      0.0      |     704.0     |      3.0      |      -2.0     |      7.0      |      12.0     |      1.0      |      55.0     |  0.370770166  |    442.541    |    164.081    |    -4.67831   |   -0.189174   |    400.745    |    454.171    |
|      66.0     |      11.0     |  0.081797584  |  0.020449396  |      17.0     |      13.0     |      8.0      |      2.0      |      30.0     |      -1.0     |      0.0      |     656.0     |      2.0      |      -1.0     |      4.0      |      9.0      |      8.0      |      66.0     |  0.201533513  |    485.291    |    97.8024    |    -2.44788   |    2.50836    |    457.587    |    424.246    |
|      26.0     |      4.0      |      0.0      |      0.0      |      3.0      |      4.0      |      0.0      |      0.0      |      13.0     |      0.0      |      0.0      |     162.0     |      1.0      |      0.0      |      1.0      |      3.0      |      0.0      |      26.0     |  0.140441173  |    218.055    |    30.6239    |    -2.31502   |    1.96378    |    187.264    |    179.095    |
|      59.0     |      6.0      |  0.214967083  |  0.017913924  |      15.0     |      4.0      |      12.0     |      1.0      |      28.0     |      0.0      |      1.0      |     529.0     |      4.0      |      1.0      |      0.0      |      7.0      |      0.0      |      59.0     |  0.126374733  |    441.722    |    55.8225    |    -1.91196   |    1.52703    |    421.067    |    385.248    |
|      42.0     |      4.0      |  0.067558894  |      0.0      |      3.0      |      5.0      |      3.0      |      0.0      |      25.0     |      -2.0     |      0.0      |     616.0     |      3.0      |      -2.0     |      1.0      |      6.0      |      0.0      |      42.0     |  0.122189722  |    363.416    |    44.4057    |    -5.27717   |    4.01376    |    353.613    |    356.088    |
|      36.0     |      3.0      |  0.024775165  |      0.0      |      1.0      |      2.0      |      2.0      |      0.0      |      23.0     |      0.0      |      0.0      |     611.0     |      3.0      |      0.0      |      2.0      |      8.0      |      0.0      |      36.0     |  0.257807585  |    313.125    |     80.726    |    -3.6079    |    1.38647    |    305.577    |    331.063    |
|      42.0     |      8.0      |  0.054493834  |  0.010898767  |      6.0      |      6.0      |      5.0      |      1.0      |      26.0     |      -1.0     |      0.0      |     680.0     |      3.0      |      -1.0     |      2.0      |      11.0     |      2.0      |      42.0     |  0.241900275  |    379.303    |    91.7535    |    -3.3527    |    0.461149   |    396.192    |    396.045    |
|      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |
